agency_name,agency_id_nces_assigned_district_latest_available_year,school_year,year,total_students_all_grades_excludes_ae_district,total_revenue_totalrev_district_finance,total_revenue_local_sources_tlocrev_district_finance,total_revenue_state_sources_tstrev_district_finance,total_revenue_federal_sources_tfedrev_district_finance,total_revenue_totalrev_per_pupil_v33_district_finance,total_revenue_local_sources_tlocrev_per_pupil_v33_district_finance,total_revenue_state_sources_tstrev_per_pupil_v33_district_finance,total_revenue_federal_sources_tfedrev_per_pupil_v33_district_finance,total_current_expenditures_instruction_tcurinst_district_finance,agency_type,urban_centric_locale,est_population_total,est_population_5_17,est_population_5_17_poverty,share_child_poverty,CEP_treat,first_treat_year,All_sites
ADEL SD 21,4100990,2021-2022,2021,13,509000,192000,292000,25000,39154,14769,22462,1923,173000,Regular local school district,"Rural, remote",84,5,0,0,0,NA,0
ADEL SD 21,4100990,2020-2021,2020,25,601000,220000,270000,111000,24040,8800,10800,4440,157000,Regular local school district,"Rural, remote",98,14,2,0.14285714285714285,0,NA,0
ADEL SD 21,4100990,2019-2020,2019,12,367000,221000,117000,29000,30583,18417,9750,2417,157000,Regular local school district,"Rural, remote",97,14,2,0.14285714285714285,0,NA,0
ADEL SD 21,4100990,2018-2019,2018,11,345000,222000,101000,22000,31364,20182,9182,2000,142000,Regular local school district,"Rural, remote",97,13,2,0.15384615384615385,0,NA,0
ADEL SD 21,4100990,2017-2018,2017,10,321000,248000,43000,30000,32100,24800,4300,3000,162000,Regular local school district,"Rural, remote",97,13,2,0.15384615384615385,0,NA,0
ADEL SD 21,4100990,2016-2017,2016,7,359000,263000,69000,27000,51286,37571,9857,3857,146000,Regular local school district,"Rural, remote",96,13,3,0.23076923076923078,0,NA,0
ADEL SD 21,4100990,2015-2016,2015,13,364000,247000,79000,38000,28000,19000,6077,2923,137000,Regular local school district,"Rural, remote",96,13,2,0.15384615384615385,0,NA,0
ADEL SD 21,4100990,2014-2015,2014,13,322000,241000,47000,34000,24769,18538,3615,2615,137000,Regular local school district,"Rural, remote",96,13,3,0.23076923076923078,0,NA,0
ADEL SD 21,4100990,2013-2014,2013,13,301000,243000,22000,36000,23154,18692,1692,2769,127000,Regular local school district,"Rural, remote",96,13,3,0.23076923076923078,0,NA,0
ADEL SD 21,4100990,2012-2013,2012,14,303000,259000,5000,39000,21643,18500,357,2786,120000,Regular local school district,"Rural, remote",95,13,3,0.23076923076923078,0,NA,0
