LEAID,LEANAME,Total_Sites,LEA_Enrollment,Total_Sites_CEP,Total_Students_CEP,District_ISP,All_Sites,Some_sites,school_year,CEP_treat,CEP_year,first_treat_year
2301002,ANNEX SD 29,1,66,1,60,0.65,A,NA,2014-2015,1,2014,2014
201001,ALSEA SD 7J,1,460,1,175,0.4971,A,NA,2020-2021,1,2020,2020
2301002,ANNEX SD 29,1,61,1,77,0.5128,A,NA,2020-2021,1,2020,2014
2301002,ANNEX SD 29,1,77,1,77,0.5128,A,NA,2017-2018,1,2017,2014
2301002,ANNEX SD 29,1,83,1,83,0.5128,A,NA,2018-2019,1,2018,2014
2301002,ANNEX SD 29,1,94,1,94,0.5128,A,NA,2019-2020,1,2019,2014
2301002,ANNEX SD 29,1,76,1,60,0.65,A,NA,2015-2016,1,2015,2014
401002,ASTORIA SD 1,4,1851,2,824,NA,NA,S,2016-2017,1,2016,2015
401002,ASTORIA SD 1,4,1876,2,834,NA,NA,S,2015-2016,1,2015,2015
3001001,ATHENA-WESTON SD 29RJ,3,548,2,401,NA,NA,S,2020-2021,1,2020,2019
3001001,ATHENA-WESTON SD 29RJ,3,583,2,402,NA,NA,S,2019-2020,1,2019,2019
3402002,BEAVERTON SD 48J,52,37141,13,7001,NA,NA,S,2020-2021,1,2020,2014
3402002,BEAVERTON SD 48J,51,38911,1,551,NA,NA,S,2014-2015,1,2014,2014
3402002,BEAVERTON SD 48J,50,39646,1,551,NA,NA,S,2015-2016,1,2015,2014
3402002,BEAVERTON SD 48J,50,39751,1,551,NA,NA,S,2016-2017,1,2016,2014
3402002,BEAVERTON SD 48J,50,39409,1,492,NA,NA,S,2017-2018,1,2017,2014
3402002,BEAVERTON SD 48J,52,39352,1,158,NA,NA,S,2018-2019,1,2018,2014
3402002,BEAVERTON SD 48J,52,39365,1,130,NA,NA,S,2019-2020,1,2019,2014
902001,BEND-LAPINE ADMINISTRATIVE SD 1,33,15603,10,3400,NA,NA,S,2020-2021,1,2020,2014
902001,BEND-LAPINE ADMINISTRATIVE SD 1,29,16689,8,2031,NA,NA,S,2014-2015,1,2014,2014
902001,BEND-LAPINE ADMINISTRATIVE SD 1,32,17059,8,2031,NA,NA,S,2015-2016,1,2015,2014
902001,BEND-LAPINE ADMINISTRATIVE SD 1,32,17520,8,2031,NA,NA,S,2016-2017,1,2016,2014
902001,BEND/LAPINE SD,32,18139,8,2014,NA,NA,S,2017-2018,1,2017,2017
902001,BEND/LAPINE SD,32,18166,5,1060,NA,NA,S,2018-2019,1,2018,2017
902001,BEND/LAPINE SD,32,17972,5,1007,NA,NA,S,2019-2020,1,2019,2017
2002002,BETHEL SD 52,11,5242,10,3973,NA,NA,S,2020-2021,1,2020,2015
2002002,BETHEL SD 52,11,5570,6,1846,NA,NA,S,2016-2017,1,2016,2015
2002002,BETHEL SD 52,11,5482,6,1810,NA,NA,S,2019-2020,1,2019,2015
2002002,BETHEL SD 52,11,5553,6,1822,NA,NA,S,2017-2018,1,2017,2015
2002002,BETHEL SD 52,11,5577,6,1824,NA,NA,S,2018-2019,1,2018,2015
2002002,BETHEL SD 52,11,5607,6,1719,NA,NA,S,2015-2016,1,2015,2015
1502001,BUTTE FALLS SD 91,2,215,2,215,NA,A,NA,2017-2018,1,2017,2014
1502001,BUTTE FALLS SD 91,2,236,2,236,NA,A,NA,2018-2019,1,2018,2014
1502001,BUTTE FALLS SD 91,1,139,1,139,0.5048,A,NA,2019-2020,1,2019,2014
1502001,BUTTE FALLS SD 91,2,143,2,141,NA,A,NA,2014-2015,1,2014,2014
1502001,BUTTE FALLS SD 91,2,146,2,141,NA,A,NA,2015-2016,1,2015,2014
1502001,BUTTE FALLS SD 91,2,189,2,141,NA,A,NA,2016-2017,1,2016,2014
1502001,BUTTE FALLS SD 91,1,232,1,110,NA,A,NA,2020-2021,1,2020,2014
2603006,CENTENNIAL SD 28J,10,6058,5,2274,NA,NA,S,2016-2017,1,2016,2014
2603006,CENTENNIAL SD 28J,11,6209,5,2274,NA,NA,S,2015-2016,1,2015,2014
2603006,CENTENNIAL SD 28J,10,6244,3,1651,NA,NA,S,2019-2020,1,2019,2014
2603006,CENTENNIAL SD 28J,9,5543,3,1330,NA,NA,S,2020-2021,1,2020,2014
2603006,CENTENNIAL SD 28J,10,5998,3,1316,NA,NA,S,2018-2019,1,2018,2014
2603006,CENTENNIAL SD 28J,10,6064,3,1330,NA,NA,S,2017-2018,1,2017,2014
2603006,CENTENNIAL SD 28J,11,6153,3,1308,NA,NA,S,2014-2015,1,2014,2014
803001,CENTRAL CURRY SD 1,2,434,2,481,0.4075,A,NA,2020-2021,1,2020,2020
1503002,CENTRAL POINT SD 6,10,4759,6,2643,NA,NA,S,2018-2019,1,2018,2014
1503002,CENTRAL POINT SD 6,10,4708,6,2556,NA,NA,S,2017-2018,1,2017,2014
1503002,CENTRAL POINT SD 6,10,4684,6,2458,NA,NA,S,2020-2021,1,2020,2014
1503002,CENTRAL POINT SD 6,10,4592,6,2360,NA,NA,S,2015-2016,1,2015,2014
1503002,CENTRAL POINT SD 6,10,4609,6,2360,NA,NA,S,2016-2017,1,2016,2014
1503002,CENTRAL POINT SD 6,10,4433,4,1514,NA,NA,S,2014-2015,1,2014,2014
1503002,CENTRAL POINT SD 6,10,4753,2,555,NA,NA,S,2019-2020,1,2019,2014
2703001,CENTRAL SD 13J,5,3127,4,2268,NA,NA,S,2020-2021,1,2020,2020
2403006,CHEMAWA INDIAN SCHOOL,1,NA,1,NA,0.5632,A,NA,2019-2020,1,2019,2017
2403006,CHEMAWA INDIAN SCHOOL,1,401,1,401,0.5632,A,NA,2017-2018,1,2017,2017
2403006,CHEMAWA INDIAN SCHOOL,1,246,1,246,0.5632,A,NA,2018-2019,1,2018,2017
2403006,CHEMAWA INDIAN SCHOOL,1,401,1,401,0.5632,A,NA,2020-2021,1,2020,2017
2603012,COMMUNITY TRANSITIONAL SCHOOL,1,79,1,79,0.7089,A,NA,2014-2015,1,2014,2014
2603012,COMMUNITY TRANSITIONAL SCHOOL,1,79,1,79,0.7089,A,NA,2015-2016,1,2015,2014
2603012,COMMUNITY TRANSITIONAL SCHOOL,1,79,1,79,0.7089,A,NA,2016-2017,1,2016,2014
2603012,COMMUNITY TRANSITIONAL SCHOOL,1,1620,1,1620,0.7089,A,NA,2017-2018,1,2017,2014
2603012,COMMUNITY TRANSITIONAL SCHOOL,1,1887,1,1887,0.8333,A,NA,2018-2019,1,2018,2014
2603012,COMMUNITY TRANSITIONAL SCHOOL,1,88,1,88,0.8333,A,NA,2019-2020,1,2019,2014
2603012,COMMUNITY TRANSITIONAL SCHOOL,1,96,1,96,0.8333,A,NA,2020-2021,1,2020,2014
603004,COOS BAY SD 009,7,3283,5,2122,NA,NA,S,2018-2019,1,2018,2018
603004,COOS BAY SD 009,7,3274,5,2095,NA,NA,S,2019-2020,1,2019,2018
603004,COOS BAY SD 9,8,2925,8,3103,0.4409,A,NA,2020-2021,1,2020,2020
603005,COQUILLE SD 8,7,1078,7,1515,0.4205,A,NA,2020-2021,1,2020,2015
603005,COQUILLE SD 8,5,943,4,968,0.4112,NA,S,2015-2016,1,2015,2015
603005,COQUILLE SD 8,5,1091,5,1091,0.4112,A,NA,2017-2018,1,2017,2015
603005,COQUILLE SD 8,7,1330,7,1330,NA,A,NA,2018-2019,1,2018,2015
603005,COQUILLE SD 8,7,1206,7,1206,NA,A,NA,2019-2020,1,2019,2015
603005,COQUILLE SD 8,5,989,4,968,0.4112,NA,S,2016-2017,1,2016,2015
703001,CROOK CO SD,6,2716,2,119,NA,NA,S,2017-2018,1,2017,2017
703001,CROOK CO SD,6,2656,2,95,NA,NA,S,2018-2019,1,2018,2017
703001,CROOK CO SD,6,2666,2,82,NA,NA,S,2019-2020,1,2019,2017
703001,CROOK COUNTY SD,7,2662,3,531,NA,NA,S,2014-2015,1,2014,2014
703001,CROOK COUNTY SD,6,2724,2,148,NA,NA,S,2016-2017,1,2016,2014
703001,CROOK COUNTY SD,6,2707,2,135,NA,NA,S,2015-2016,1,2015,2014
2604001,DAVID DOUGLAS SD 40,16,9105,14,8952,NA,NA,S,2020-2021,1,2020,2014
2604001,DAVID DOUGLAS SD 40,16,10528,6,2911,NA,NA,S,2016-2017,1,2016,2014
2604001,DAVID DOUGLAS SD 40,17,10709,6,2911,NA,NA,S,2015-2016,1,2015,2014
2604001,DAVID DOUGLAS SD 40,17,10843,3,1766,NA,NA,S,2014-2015,1,2014,2014
2604001,DAVID DOUGLAS SD 40,16,10683,3,1412,NA,NA,S,2017-2018,1,2017,2014
2604001,DAVID DOUGLAS SD 40,16,10451,3,1352,NA,NA,S,2018-2019,1,2018,2014
2604001,DAVID DOUGLAS SD 40,16,10067,3,1294,NA,NA,S,2019-2020,1,2019,2014
3604001,DAYTON SD 008,3,1016,3,1016,0.42,A,NA,2017-2018,1,2017,2017
3604001,DAYTON SD 008,3,1038,3,1038,0.42,A,NA,2018-2019,1,2018,2017
3604001,DAYTON SD 8,3,980,3,969,0.42,A,NA,2015-2016,1,2015,2015
3604001,DAYTON SD 8,3,981,3,969,0.42,A,NA,2016-2017,1,2016,2015
3604001,DAYTON SD 8,3,943,1,365,NA,NA,S,2020-2021,1,2020,2015
1004001,DOUGLAS COUNTY SD 15,1,206,1,842,0.4211,A,NA,2020-2021,1,2020,2020
1018004,DOUGLAS COUNTY SD 4,12,5278,10,4857,NA,NA,S,2020-2021,1,2020,2020
3304001,DUFUR SD 29,2,345,1,372,0.4233,NA,S,2020-2021,1,2020,2017
3304001,DUFUR SD 29,2,305,2,305,0.4233,A,NA,2017-2018,1,2017,2017
3304001,DUFUR SD 29,2,316,2,316,0.4233,A,NA,2018-2019,1,2018,2017
3304001,DUFUR SD 29,2,376,2,376,0.4233,A,NA,2019-2020,1,2019,2017
1505001,EAGLE POINT SD 9,12,3904,12,4121,0.4429,A,NA,2020-2021,1,2020,2014
1505001,EAGLE POINT SD 9,12,4110,6,1959,NA,NA,S,2019-2020,1,2019,2014
1505001,EAGLE POINT SD 9,12,4098,6,1927,NA,NA,S,2018-2019,1,2018,2014
1505001,EAGLE POINT SD 9,10,3959,4,1435,NA,NA,S,2014-2015,1,2014,2014
1505001,EAGLE POINT SD 9,12,4035,4,1435,NA,NA,S,2015-2016,1,2015,2014
1505001,EAGLE POINT SD 9,12,4040,4,1435,NA,NA,S,2016-2017,1,2016,2014
1505001,EAGLE POINT SD 9,12,4065,4,1384,NA,NA,S,2017-2018,1,2017,2014
305002,ESTACADA SD 108,4,1641,3,1118,NA,NA,S,2015-2016,1,2015,2014
305002,ESTACADA SD 108,4,1669,3,1118,NA,NA,S,2014-2015,1,2014,2014
2005005,EUGENE SD 4J,34,15576,20,6983,NA,NA,S,2020-2021,1,2020,2016
2005005,EUGENE SD 4J,33,16371,9,3472,NA,NA,S,2019-2020,1,2019,2016
2005005,EUGENE SD 4J,33,15939,5,2035,NA,NA,S,2018-2019,1,2018,2016
2005005,EUGENE SD 4J,33,16023,5,1913,NA,NA,S,2017-2018,1,2017,2016
2005005,EUGENE SD 4J,33,15936,5,1812,NA,NA,S,2016-2017,1,2016,2016
2706001,FALLS CITY SD 57,2,170,2,207,0.5797,A,NA,2020-2021,1,2020,2014
2706001,FALLS CITY SD 57,2,143,2,164,0.6402,A,NA,2014-2015,1,2014,2014
2706001,FALLS CITY SD 57,2,216,2,216,0.6402,A,NA,2017-2018,1,2017,2014
2706001,FALLS CITY SD 57,2,215,2,215,0.5797,A,NA,2018-2019,1,2018,2014
2706001,FALLS CITY SD 57,2,191,2,191,0.5797,A,NA,2019-2020,1,2019,2014
2706001,FALLS CITY SD 57,2,175,2,164,0.6402,A,NA,2016-2017,1,2016,2014
2706001,FALLS CITY SD 57,2,178,2,164,0.6402,A,NA,2015-2016,1,2015,2014
3406001,FOREST GROVE SD 15,12,5485,4,1605,NA,NA,S,2020-2021,1,2020,2014
3406001,FOREST GROVE SD 15,12,5888,3,1138,NA,NA,S,2019-2020,1,2019,2014
3406001,FOREST GROVE SD 15,12,5827,2,823,NA,NA,S,2014-2015,1,2014,2014
3406001,FOREST GROVE SD 15,12,5885,2,823,NA,NA,S,2015-2016,1,2015,2014
3406001,FOREST GROVE SD 15,13,5924,2,823,NA,NA,S,2016-2017,1,2016,2014
3406001,FOREST GROVE SD 15,13,5917,2,664,NA,NA,S,2018-2019,1,2018,2014
3406001,FOREST GROVE SD 15,13,5919,2,643,NA,NA,S,2017-2018,1,2017,2014
2306001,FOUR RIVERS COMMUNITY SCHOOL,2,280,2,282,NA,A,NA,2016-2017,1,2016,2015
2306001,FOUR RIVERS COMMUNITY SCHOOL,2,277,2,277,NA,A,NA,2017-2018,1,2017,2015
2306001,FOUR RIVERS COMMUNITY SCHOOL,2,304,2,304,NA,A,NA,2018-2019,1,2018,2015
2306001,FOUR RIVERS COMMUNITY SCHOOL,2,319,2,319,NA,A,NA,2019-2020,1,2019,2015
2306001,FOUR RIVERS COMMUNITY SCHOOL,1,253,1,252,0.5397,A,NA,2015-2016,1,2015,2015
2306001,FOUR RIVERS COMMUNITY SCHOOL,2,350,2,348,NA,A,NA,2020-2021,1,2020,2015
2407001,GERVAIS SD 1,5,915,5,1051,NA,A,NA,2020-2021,1,2020,2014
2407001,GERVAIS SD 1,5,995,5,1106,NA,A,NA,2016-2017,1,2016,2014
2407001,GERVAIS SD 1,5,1068,5,1106,NA,A,NA,2015-2016,1,2015,2014
2407001,GERVAIS SD 1,5,1070,5,1070,NA,A,NA,2017-2018,1,2017,2014
2407001,GERVAIS SD 1,5,1065,5,1065,NA,A,NA,2018-2019,1,2018,2014
2407001,GERVAIS SD 1,5,1038,5,1038,NA,A,NA,2019-2020,1,2019,2014
2407001,GERVAIS SD 1,4,1056,4,1043,NA,A,NA,2014-2015,1,2014,2014
1007001,GLENDALE SD 77,2,277,2,319,0.4263,A,NA,2016-2017,1,2016,2014
1007001,GLENDALE SD 77,2,279,2,300,0.4,A,NA,2020-2021,1,2020,2014
1007001,GLENDALE SD 77,2,308,2,319,0.4263,A,NA,2015-2016,1,2015,2014
1007001,GLENDALE SD 77,2,298,2,298,0.4263,A,NA,2017-2018,1,2017,2014
1007001,GLENDALE SD 77,2,390,2,390,0.4,A,NA,2018-2019,1,2018,2014
1007001,GLENDALE SD 77,2,379,2,379,0.4,A,NA,2019-2020,1,2019,2014
1007001,GLENDALE SD 77,2,343,2,319,0.4263,A,NA,2014-2015,1,2014,2014
1707001,GRANTS PASS SD 7,10,5109,9,6028,0.4109,NA,S,2020-2021,1,2020,2014
1707001,GRANTS PASS SD 7,10,5899,10,5899,0.4529,A,NA,2017-2018,1,2017,2014
1707001,GRANTS PASS SD 7,10,6064,10,6064,0.4529,A,NA,2018-2019,1,2018,2014
1707001,GRANTS PASS SD 7,10,6052,10,6052,0.3754,A,NA,2019-2020,1,2019,2014
1707001,GRANTS PASS SD 7,10,5922,10,5838,0.4535,A,NA,2016-2017,1,2016,2014
1707001,GRANTS PASS SD 7,10,5879,9,5757,NA,NA,S,2014-2015,1,2014,2014
1707001,GRANTS PASS SD 7,10,6036,10,5838,0.4535,A,NA,2015-2016,1,2015,2014
2207001,GREATER ALBANY PUBLIC SD 8J,20,7883,9,2518,NA,NA,S,2020-2021,1,2020,2016
2207001,GREATER ALBANY PUBLIC SD 8J,21,9416,1,247,NA,NA,S,2016-2017,1,2016,2016
2207001,GREATER ALBANY SD 8J,21,9300,9,2656,NA,NA,S,2018-2019,1,2018,2017
2207001,GREATER ALBANY SD 8J,20,9028,9,2565,NA,NA,S,2019-2020,1,2019,2017
2207001,GREATER ALBANY SD 8J,21,10541,1,296,NA,NA,S,2017-2018,1,2017,2017
2607003,GRESHAM-BARLOW SD 10J,20,11026,9,4277,NA,NA,S,2015-2016,1,2015,2014
2607003,GRESHAM-BARLOW SD 10J,21,11162,9,4277,NA,NA,S,2016-2017,1,2016,2014
2607003,GRESHAM-BARLOW SD 10J,20,11116,9,4209,NA,NA,S,2017-2018,1,2017,2014
2607003,GRESHAM-BARLOW SD 10J,21,11298,9,4277,NA,NA,S,2014-2015,1,2014,2014
2607003,GRESHAM-BARLOW SD 10J,20,11190,3,1312,NA,NA,S,2020-2021,1,2020,2014
2607003,GRESHAM-BARLOW SD 10J,21,11678,3,1310,NA,NA,S,2018-2019,1,2018,2014
2607003,GRESHAM-BARLOW SD 10J,21,11570,3,1245,NA,NA,S,2019-2020,1,2019,2014
3408001,HILLSBORO SD 1J,35,17680,14,6559,NA,NA,S,2020-2021,1,2020,2014
3408001,HILLSBORO SD 1J,34,20003,14,5648,NA,NA,S,2016-2017,1,2016,2014
3408001,HILLSBORO SD 1J,34,20218,14,5648,NA,NA,S,2015-2016,1,2015,2014
