Agency Name,Agency ID - NCES Assigned [District] Latest available year,Total Number Operational Charter Schools [Public School] 2021-22,Total Number Operational Charter Schools [Public School] 2020-21,Total Number Operational Charter Schools [Public School] 2019-20,Total Number Operational Charter Schools [Public School] 2018-19,Total Number Operational Charter Schools [Public School] 2017-18,Total Number Operational Charter Schools [Public School] 2016-17,Total Number Operational Charter Schools [Public School] 2015-16,Total Number Operational Charter Schools [Public School] 2014-15,Total Number Operational Charter Schools [Public School] 2013-14,Total Number Operational Charter Schools [Public School] 2012-13,Total Number Operational Charter Schools [Public School] 2011-12,Total Number Operational Charter Schools [Public School] 2010-11,Total Number Operational Schools [Public School] 2021-22,Total Number Operational Schools [Public School] 2020-21,Total Number Operational Schools [Public School] 2019-20,Total Number Operational Schools [Public School] 2018-19,Total Number Operational Schools [Public School] 2017-18,Total Number Operational Schools [Public School] 2016-17,Total Number Operational Schools [Public School] 2015-16,Total Number Operational Schools [Public School] 2014-15,Total Number Operational Schools [Public School] 2013-14,Total Number Operational Schools [Public School] 2012-13,Total Number Operational Schools [Public School] 2011-12,Total Number Operational Schools [Public School] 2010-11,Total Students All Grades (Excludes AE) [District] 2021-22,Total Students All Grades (Excludes AE) [District] 2020-21,Total Students All Grades (Excludes AE) [District] 2019-20,Total Students All Grades (Excludes AE) [District] 2018-19,Total Students All Grades (Excludes AE) [District] 2017-18,Total Students All Grades (Excludes AE) [District] 2016-17,Total Students All Grades (Excludes AE) [District] 2015-16,Total Students All Grades (Excludes AE) [District] 2014-15,Total Students All Grades (Excludes AE) [District] 2013-14,Total Students All Grades (Excludes AE) [District] 2012-13,Total Students All Grades (Excludes AE) [District] 2011-12,Total Students All Grades (Excludes AE) [District] 2010-11,Total Revenue (TOTALREV) [District Finance] 2021-22,Total Revenue (TOTALREV) [District Finance] 2020-21,Total Revenue (TOTALREV) [District Finance] 2019-20,Total Revenue (TOTALREV) [District Finance] 2018-19,Total Revenue (TOTALREV) [District Finance] 2017-18,Total Revenue (TOTALREV) [District Finance] 2016-17,Total Revenue (TOTALREV) [District Finance] 2015-16,Total Revenue (TOTALREV) [District Finance] 2014-15,Total Revenue (TOTALREV) [District Finance] 2013-14,Total Revenue (TOTALREV) [District Finance] 2012-13,Total Revenue (TOTALREV) [District Finance] 2011-12,Total Revenue (TOTALREV) [District Finance] 2010-11,Total Revenue - Local Sources (TLOCREV) [District Finance] 2021-22,Total Revenue - Local Sources (TLOCREV) [District Finance] 2020-21,Total Revenue - Local Sources (TLOCREV) [District Finance] 2019-20,Total Revenue - Local Sources (TLOCREV) [District Finance] 2018-19,Total Revenue - Local Sources (TLOCREV) [District Finance] 2017-18,Total Revenue - Local Sources (TLOCREV) [District Finance] 2016-17,Total Revenue - Local Sources (TLOCREV) [District Finance] 2015-16,Total Revenue - Local Sources (TLOCREV) [District Finance] 2014-15,Total Revenue - Local Sources (TLOCREV) [District Finance] 2013-14,Total Revenue - Local Sources (TLOCREV) [District Finance] 2012-13,Total Revenue - Local Sources (TLOCREV) [District Finance] 2011-12,Total Revenue - Local Sources (TLOCREV) [District Finance] 2010-11,Total Revenue - State Sources (TSTREV) [District Finance] 2021-22,Total Revenue - State Sources (TSTREV) [District Finance] 2020-21,Total Revenue - State Sources (TSTREV) [District Finance] 2019-20,Total Revenue - State Sources (TSTREV) [District Finance] 2018-19,Total Revenue - State Sources (TSTREV) [District Finance] 2017-18,Total Revenue - State Sources (TSTREV) [District Finance] 2016-17,Total Revenue - State Sources (TSTREV) [District Finance] 2015-16,Total Revenue - State Sources (TSTREV) [District Finance] 2014-15,Total Revenue - State Sources (TSTREV) [District Finance] 2013-14,Total Revenue - State Sources (TSTREV) [District Finance] 2012-13,Total Revenue - State Sources (TSTREV) [District Finance] 2011-12,Total Revenue - State Sources (TSTREV) [District Finance] 2010-11,Total Revenue - Federal Sources (TFEDREV) [District Finance] 2021-22,Total Revenue - Federal Sources (TFEDREV) [District Finance] 2020-21,Total Revenue - Federal Sources (TFEDREV) [District Finance] 2019-20,Total Revenue - Federal Sources (TFEDREV) [District Finance] 2018-19,Total Revenue - Federal Sources (TFEDREV) [District Finance] 2017-18,Total Revenue - Federal Sources (TFEDREV) [District Finance] 2016-17,Total Revenue - Federal Sources (TFEDREV) [District Finance] 2015-16,Total Revenue - Federal Sources (TFEDREV) [District Finance] 2014-15,Total Revenue - Federal Sources (TFEDREV) [District Finance] 2013-14,Total Revenue - Federal Sources (TFEDREV) [District Finance] 2012-13,Total Revenue - Federal Sources (TFEDREV) [District Finance] 2011-12,Total Revenue - Federal Sources (TFEDREV) [District Finance] 2010-11,Total Current Expenditures - Instruction (TCURINST) [District Finance] 2021-22,Total Current Expenditures - Instruction (TCURINST) [District Finance] 2020-21,Total Current Expenditures - Instruction (TCURINST) [District Finance] 2019-20,Total Current Expenditures - Instruction (TCURINST) [District Finance] 2018-19,Total Current Expenditures - Instruction (TCURINST) [District Finance] 2017-18,Total Current Expenditures - Instruction (TCURINST) [District Finance] 2016-17,Total Current Expenditures - Instruction (TCURINST) [District Finance] 2015-16,Total Current Expenditures - Instruction (TCURINST) [District Finance] 2014-15,Total Current Expenditures - Instruction (TCURINST) [District Finance] 2013-14,Total Current Expenditures - Instruction (TCURINST) [District Finance] 2012-13,Total Current Expenditures - Instruction (TCURINST) [District Finance] 2011-12,Total Current Expenditures - Instruction (TCURINST) [District Finance] 2010-11,Total Revenue (TOTALREV) per Pupil (V33) [District Finance] 2021-22,Total Revenue (TOTALREV) per Pupil (V33) [District Finance] 2020-21,Total Revenue (TOTALREV) per Pupil (V33) [District Finance] 2019-20,Total Revenue (TOTALREV) per Pupil (V33) [District Finance] 2018-19,Total Revenue (TOTALREV) per Pupil (V33) [District Finance] 2017-18,Total Revenue (TOTALREV) per Pupil (V33) [District Finance] 2016-17,Total Revenue (TOTALREV) per Pupil (V33) [District Finance] 2015-16,Total Revenue (TOTALREV) per Pupil (V33) [District Finance] 2014-15,Total Revenue (TOTALREV) per Pupil (V33) [District Finance] 2013-14,Total Revenue (TOTALREV) per Pupil (V33) [District Finance] 2012-13,Total Revenue (TOTALREV) per Pupil (V33) [District Finance] 2011-12,Total Revenue (TOTALREV) per Pupil (V33) [District Finance] 2010-11,Total Revenue - Local Sources (TLOCREV) per Pupil (V33) [District Finance] 2021-22,Total Revenue - Local Sources (TLOCREV) per Pupil (V33) [District Finance] 2020-21,Total Revenue - Local Sources (TLOCREV) per Pupil (V33) [District Finance] 2019-20,Total Revenue - Local Sources (TLOCREV) per Pupil (V33) [District Finance] 2018-19,Total Revenue - Local Sources (TLOCREV) per Pupil (V33) [District Finance] 2017-18,Total Revenue - Local Sources (TLOCREV) per Pupil (V33) [District Finance] 2016-17,Total Revenue - Local Sources (TLOCREV) per Pupil (V33) [District Finance] 2015-16,Total Revenue - Local Sources (TLOCREV) per Pupil (V33) [District Finance] 2014-15,Total Revenue - Local Sources (TLOCREV) per Pupil (V33) [District Finance] 2013-14,Total Revenue - Local Sources (TLOCREV) per Pupil (V33) [District Finance] 2012-13,Total Revenue - Local Sources (TLOCREV) per Pupil (V33) [District Finance] 2011-12,Total Revenue - Local Sources (TLOCREV) per Pupil (V33) [District Finance] 2010-11,Total Revenue - State Sources (TSTREV) per Pupil (V33) [District Finance] 2021-22,Total Revenue - State Sources (TSTREV) per Pupil (V33) [District Finance] 2020-21,Total Revenue - State Sources (TSTREV) per Pupil (V33) [District Finance] 2019-20,Total Revenue - State Sources (TSTREV) per Pupil (V33) [District Finance] 2018-19,Total Revenue - State Sources (TSTREV) per Pupil (V33) [District Finance] 2017-18,Total Revenue - State Sources (TSTREV) per Pupil (V33) [District Finance] 2016-17,Total Revenue - State Sources (TSTREV) per Pupil (V33) [District Finance] 2015-16,Total Revenue - State Sources (TSTREV) per Pupil (V33) [District Finance] 2014-15,Total Revenue - State Sources (TSTREV) per Pupil (V33) [District Finance] 2013-14,Total Revenue - State Sources (TSTREV) per Pupil (V33) [District Finance] 2012-13,Total Revenue - State Sources (TSTREV) per Pupil (V33) [District Finance] 2011-12,Total Revenue - State Sources (TSTREV) per Pupil (V33) [District Finance] 2010-11,Total Revenue - Federal Sources (TFEDREV) per Pupil (V33) [District Finance] 2021-22,Total Revenue - Federal Sources (TFEDREV) per Pupil (V33) [District Finance] 2020-21,Total Revenue - Federal Sources (TFEDREV) per Pupil (V33) [District Finance] 2019-20,Total Revenue - Federal Sources (TFEDREV) per Pupil (V33) [District Finance] 2018-19,Total Revenue - Federal Sources (TFEDREV) per Pupil (V33) [District Finance] 2017-18,Total Revenue - Federal Sources (TFEDREV) per Pupil (V33) [District Finance] 2016-17,Total Revenue - Federal Sources (TFEDREV) per Pupil (V33) [District Finance] 2015-16,Total Revenue - Federal Sources (TFEDREV) per Pupil (V33) [District Finance] 2014-15,Total Revenue - Federal Sources (TFEDREV) per Pupil (V33) [District Finance] 2013-14,Total Revenue - Federal Sources (TFEDREV) per Pupil (V33) [District Finance] 2012-13,Total Revenue - Federal Sources (TFEDREV) per Pupil (V33) [District Finance] 2011-12,Total Revenue - Federal Sources (TFEDREV) per Pupil (V33) [District Finance] 2010-11
ADEL SD 21,4100990,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,13,25,12,11,10,7,13,13,13,14,15,4,509000,601000,367000,345000,321000,359000,364000,322000,301000,303000,301000,279000,192000,220000,221000,222000,248000,263000,247000,241000,243000,259000,215000,56000,292000,270000,117000,101000,43000,69000,79000,47000,22000,5000,73000,181000,25000,111000,29000,22000,30000,27000,38000,34000,36000,39000,13000,42000,173000,157000,157000,142000,162000,146000,137000,137000,127000,120000,111000,122000,39154,24040,30583,31364,32100,51286,28000,24769,23154,21643,20067,69750,14769,8800,18417,20182,24800,37571,19000,18538,18692,18500,14333,14000,22462,10800,9750,9182,4300,9857,6077,3615,1692,357,4867,45250,1923,4440,2417,2000,3000,3857,2923,2615,2769,2786,867,10500
ADRIAN SD 61,4101020,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,263,254,292,295,301,285,279,266,235,231,251,245,5712000,5475000,5154000,4919000,5092000,5151000,4037000,3856000,3247000,3243000,3257000,3295000,901000,699000,861000,810000,827000,1047000,662000,685000,639000,646000,625000,625000,4417000,4235000,3980000,3893000,4038000,3884000,3151000,2945000,2411000,2373000,2404000,2320000,394000,541000,313000,216000,227000,220000,224000,226000,197000,224000,228000,350000,2963000,2728000,2587000,2443000,2474000,2217000,2066000,1988000,1919000,1824000,1771000,1766000,21719,21555,17651,16675,16917,18074,14470,14496,13817,14039,12976,13449,3426,2752,2949,2746,2748,3674,2373,2575,2719,2797,2490,2551,16795,16673,13630,13197,13415,13628,11294,11071,10260,10273,9578,9469,1498,2130,1072,732,754,772,803,850,838,970,908,1429
ALSEA SD 7J,4101200,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,941,460,321,226,156,140,146,172,153,144,137,146,12735000,9177000,6163000,4276000,2978000,2742000,2648000,2739000,2446000,2156000,1920000,1960000,771000,621000,858000,616000,566000,510000,481000,496000,431000,424000,377000,391000,11586000,8176000,5071000,3480000,2249000,2109000,2038000,2150000,1894000,1499000,1395000,1359000,378000,380000,234000,180000,163000,123000,129000,93000,121000,233000,148000,210000,6310000,4607000,1952000,1749000,1758000,1506000,1452000,1436000,1173000,1127000,1035000,1012000,13533,19950,19199,18920,19090,19586,18137,15924,15987,14972,14015,13425,819,1350,2673,2726,3628,3643,3295,2884,2817,2944,2752,2678,12312,17774,15798,15398,14417,15064,13959,12500,12379,10410,10182,9308,402,826,729,796,1045,879,884,541,791,1618,1080,1438
AMITY SD 4J,4101230,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,756,741,832,845,888,876,874,900,917,907,870,839,12296000,12085000,11398000,10734000,10672000,9673000,9476000,9429000,9069000,8532000,8250000,7977000,3230000,3002000,3459000,3085000,2906000,2760000,2660000,2715000,2707000,2571000,2565000,2457000,7998000,7992000,7431000,7144000,7281000,6393000,6308000,6119000,5861000,5351000,5089000,4746000,1068000,1091000,508000,505000,485000,520000,508000,595000,501000,610000,596000,774000,6832000,5872000,5688000,5452000,5257000,4840000,5015000,4946000,4702000,4253000,4127000,4148000,16265,16309,13700,12703,12018,11042,10842,10477,9890,9407,9483,9508,4272,4051,4157,3651,3273,3151,3043,3017,2952,2835,2948,2928,10579,10785,8931,8454,8199,7298,7217,6799,6391,5900,5849,5657,1413,1472,611,598,546,594,581,661,546,673,685,923
ANNEX SD 29,4101350,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,99,82,94,105,103,88,92,83,77,80,78,54,1960000,2241000,1968000,1810000,1629000,1500000,1374000,1307000,937000,775000,774000,782000,234000,237000,258000,254000,229000,209000,185000,183000,165000,171000,156000,161000,1511000,1706000,1565000,1460000,1302000,1201000,1079000,984000,563000,487000,529000,456000,215000,298000,145000,96000,98000,90000,110000,140000,209000,117000,89000,165000,1360000,1352000,1242000,967000,760000,552000,415000,387000,318000,305000,277000,285000,19798,27329,20936,17238,15816,17045,14935,15747,12169,9688,9923,14481,2364,2890,2745,2419,2223,2375,2011,2205,2143,2138,2000,2981,15263,20805,16649,13905,12641,13648,11728,11855,7312,6088,6782,8444,2172,3634,1543,914,951,1023,1196,1687,2714,1463,1141,3056
ARLINGTON SD 3,4101470,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2,160,162,172,164,156,165,162,137,155,151,132,117,3813000,4958000,3927000,3782000,3620000,3188000,2839000,2749000,2464000,2438000,3542000,2846000,2942000,3289000,2516000,2628000,2467000,2382000,2454000,2650000,2373000,2358000,3424000,2740000,520000,1297000,1234000,989000,962000,712000,267000,26000,16000,15000,88000,42000,351000,372000,177000,165000,191000,94000,118000,73000,75000,65000,30000,64000,2024000,1855000,1905000,1571000,1547000,1508000,1527000,1427000,1382000,1550000,1683000,1242000,23831,30605,22831,23061,23205,19321,17525,20066,15897,16146,26833,24325,18388,20302,14628,16024,15814,14436,15148,19343,15310,15616,25939,23419,3250,8006,7174,6030,6167,4315,1648,190,103,99,667,359,2194,2296,1029,1006,1224,570,728,533,484,430,227,547
AROCK SD 81,4101500,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,16,16,17,21,15,15,12,14,8,10,9,11,562000,544000,509000,492000,472000,427000,393000,391000,311000,288000,624000,377000,105000,99000,106000,90000,88000,83000,71000,81000,75000,83000,377000,73000,435000,404000,392000,365000,336000,326000,301000,297000,220000,183000,237000,270000,22000,41000,11000,37000,48000,18000,21000,13000,16000,22000,10000,34000,217000,216000,222000,175000,178000,154000,143000,132000,131000,112000,79000,136000,35125,34000,29941,23429,31467,28467,32750,27929,38875,28800,69333,34273,6563,6188,6235,4286,5867,5533,5917,5786,9375,8300,41889,6636,27188,25250,23059,17381,22400,21733,25083,21214,27500,18300,26333,24545,1375,2563,647,1762,3200,1200,1750,929,2000,2200,1111,3091
ASHLAND SD 5,4101560,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,2429,2549,2842,2966,2937,2911,2869,2809,2801,2775,2782,2763,57725000,51886000,47606000,40325000,39827000,39051000,38751000,36134000,32026000,31733000,31682000,32784000,30431000,28252000,30343000,25220000,25673000,25915000,25002000,22168000,21875000,20710000,20582000,20459000,18334000,20302000,15619000,13497000,12577000,11521000,11808000,11930000,9078000,8909000,9219000,9139000,8960000,3332000,1644000,1608000,1577000,1615000,1941000,2036000,1073000,2114000,1881000,3186000,28471000,22564000,21877000,20234000,19233000,17775000,16908000,17208000,16175000,15420000,15451000,15872000,23765,20355,16751,13920,13560,13415,13507,12979,11434,11435,11388,11865,12528,11084,10677,8706,8741,8902,8715,7963,7810,7463,7398,7405,7548,7965,5496,4659,4282,3958,4116,4285,3241,3210,3314,3308,3689,1307,578,555,537,555,677,731,383,762,676,1153
ASHWOOD SD 8,4101590,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,11,13,7,7,7,3,6,7,7,9,11,5,567000,543000,263000,362000,309000,311000,211000,252000,243000,304000,344000,221000,7000,11000,11000,10000,4000,3000,2000,3000,4000,3000,4000,3000,560000,454000,239000,315000,305000,303000,202000,244000,231000,299000,340000,218000,0,78000,13000,37000,0,5000,7000,5000,8000,2000,0,0,125000,105000,96000,114000,86000,89000,95000,96000,146000,88000,84000,77000,51545,41769,37571,51714,44143,103667,35167,36000,34714,33778,31273,44200,636,846,1571,1429,571,1000,333,429,571,333,364,600,50909,34923,34143,45000,43571,101000,33667,34857,33000,33222,30909,43600,0,6000,1857,5286,0,1667,1167,714,1143,222,0,0
ASTORIA SD 1,4101620,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,1747,1803,1894,1888,1909,1858,1883,1860,1936,1917,1937,1921,29385000,32210000,28252000,25910000,23767000,20478000,22204000,21965000,19995000,19143000,19597000,20238000,13819000,13175000,14721000,13225000,12124000,10558000,10759000,10372000,9331000,9794000,9587000,9550000,15566000,17097000,12202000,11469000,10326000,8626000,9991000,10180000,9238000,7820000,8634000,8161000,0,1938000,1329000,1216000,1317000,1294000,1454000,1413000,1426000,1529000,1376000,2527000,16207000,14004000,13496000,12982000,12169000,12023000,11507000,11398000,10936000,10534000,10461000,10972000,16820,17865,14917,13767,12450,11022,11792,11886,10328,9986,10117,10535,7910,7307,7772,7027,6351,5682,5714,5613,4820,5109,4949,4971,8910,9483,6442,6094,5409,4643,5306,5509,4772,4079,4457,4248,0,1075,702,646,690,696,772,765,737,798,710,1315
