year,leaid,lea_name,state_location,city_location,agency_type,enrollment,agency_charter_indicator,urban_centric_locale,est_population_total,est_population_5_17,est_population_5_17_pct,est_population_5_17_poverty,est_population_5_17_poverty_pct
"2021","4100990","Adel SD 21","OR","Lakeview","Regular local school district","13","","Rural, remote","84","5","0.059524","0","0"
"2021","4101020","Adrian SD 61","OR","Adrian","Regular local school district","263","","Rural, distant","1281","231","0.180328","39","0.168831"
"2021","4101200","Alsea SD 7J","OR","Alsea","Charter agency","941","","Rural, distant","1018","168","0.165029","29","0.172619"
"2021","4101230","Amity SD 4J","OR","Amity","Regular local school district","756","","Rural, distant","4788","847","0.176901","105","0.123967"
"2021","4101350","Annex SD 29","OR","Ontario","Charter agency","99","","Rural, fringe","394","67","0.170051","14","0.208955"
"2021","4101470","Arlington SD 3","OR","Arlington","Charter agency","160","","Rural, remote","927","162","0.174757","21","0.12963"
"2021","4101500","Arock SD 81","OR","Arock","Regular local school district","16","","Rural, remote","151","34","0.225166","6","0.176471"
"2021","4101560","Ashland SD 5","OR","Ashland","Regular local school district","2429","","Suburb, midsize","25842","3040","0.117638","445","0.146382"
"2021","4101590","Ashwood SD 8","OR","Ashwood","Regular local school district","11","","Rural, remote","75","19","0.253333","3","0.157895"
"2021","4101620","Astoria SD 1","OR","Astoria","Regular local school district","1747","","Town, remote","14752","1982","0.134355","275","0.138749"
"2021","4101660","Athena-Weston SD 29RJ","OR","Athena","Regular local school district","604","","Rural, distant","2920","499","0.17089","86","0.172345"
"2021","4101710","Baker SD 5J","OR","Baker City","Regular local school district","4527","","Town, remote","14097","2148","0.152373","389","0.181099"
"2021","4101800","Bandon SD 54","OR","Bandon","Regular local school district","613","","Town, remote","7143","739","0.103458","200","0.270636"
"2021","4101830","Banks SD 13","OR","Banks","Regular local school district","1040","","Rural, distant","6369","1223","0.192024","80","0.065413"
"2021","4101920","Beaverton SD 48J","OR","Beaverton","Regular local school district","39253","","City, small","291942","47777","0.163652","3938","0.082425"
"2021","4101980","Bend-LaPine Administrative SD 1","OR","Bend","Regular local school district","17421","","City, small","141044","20417","0.144756","1756","0.086007"
"2021","4102040","Bethel SD 52","OR","Eugene","Regular local school district","5279","","City, midsize","43193","6513","0.150788","814","0.124981"
"2021","4102160","Blachly SD 90","OR","Blachly","Charter agency","302","","Rural, distant","629","103","0.163752","9","0.087379"
"2021","4102190","Black Butte SD 41","OR","Camp Sherman","Regular local school district","20","","Rural, remote","303","29","0.09571","4","0.137931"
"2021","4102310","Brookings-Harbor SD 17C","OR","Brookings","Regular local school district","1414","","Town, remote","14692","1618","0.110128","299","0.184796"
"2021","4101740","Burnt River SD 30J","OR","Unity","Charter agency","23","","Rural, remote","374","42","0.112299","7","0.166667"
"2021","4102580","Butte Falls SD 91","OR","Butte Falls","Charter agency","187","","Rural, distant","1245","195","0.156627","29","0.148718"
"2021","4102610","Camas Valley SD 21J","OR","Camas Valley","Charter agency","225","","Rural, remote","870","164","0.188506","32","0.195122"
"2021","4102640","Canby SD 86","OR","Canby","Regular local school district","4161","","Town, fringe","32106","5009","0.156014","453","0.090437"
"2021","4102780","Cascade SD 5","OR","Turner","Regular local school district","2563","","Rural, fringe","15477","2794","0.180526","357","0.127774"
"2021","4102800","Centennial SD 28J","OR","Portland","Regular local school district","5528","","Suburb, large","44952","7945","0.176744","1209","0.152171"
"2021","4105760","Central Curry SD 1","OR","Gold Beach","Regular local school district","422","","Town, remote","5810","622","0.107057","127","0.20418"
"2021","4102910","Central Linn SD 552","OR","Halsey","Regular local school district","552","","Rural, distant","5629","988","0.17552","83","0.084008"
"2021","4102940","Central Point SD 6","OR","Central Point","Regular local school district","4713","","Suburb, midsize","32196","5261","0.163405","655","0.124501"
"2021","4102840","Central SD 13J","OR","Independence","Regular local school district","3157","","Town, fringe","25191","4164","0.165297","567","0.136167"
"2021","4103260","Clatskanie SD 6J","OR","Clatskanie","Regular local school district","658","","Rural, distant","5167","779","0.150764","114","0.146341"
"2021","4103270","Colton SD 53","OR","Colton","Regular local school district","473","","Rural, distant","4386","713","0.162563","67","0.093969"
"2021","4103330","Condon SD 25J","OR","Condon","Regular local school district","129","","Rural, remote","1090","158","0.144954","21","0.132911"
"2021","4103660","Coos Bay SD 9","OR","Coos Bay","Regular local school district","3024","","Town, remote","27112","3720","0.137209","842","0.226344"
"2021","4103390","Coquille SD 8","OR","Coquille","Regular local school district","1246","","Town, remote","7155","1055","0.147449","205","0.194313"
"2021","4103420","Corbett SD 39","OR","Corbett","Charter agency","1038","","Rural, fringe","3777","664","0.175801","73","0.10994"
"2021","4103480","Corvallis SD 509J","OR","Corvallis","Regular local school district","6379","","City, small","71931","7569","0.105226","803","0.106091"
"2021","4103540","Cove SD 15","OR","Cove","Charter agency","289","","Rural, remote","1574","327","0.207751","50","0.152905"
"2021","4103690","Creswell SD 40","OR","Creswell","Regular local school district","1100","","Town, fringe","9848","1631","0.165617","217","0.133047"
"2021","4103720","Crook County SD","OR","Prineville","Regular local school district","3216","","Town, distant","25824","3792","0.14684","565","0.148998"
"2021","4103780","Crow-Applegate-Lorane SD 66","OR","Eugene","Regular local school district","253","","Rural, distant","2342","323","0.137916","41","0.126935"
"2021","4103840","Culver SD 4","OR","Culver","Regular local school district","672","","Rural, distant","4228","743","0.175733","138","0.185734"
"2021","4103860","Dallas SD 2","OR","Dallas","Regular local school district","3031","","Town, fringe","23540","3886","0.165081","457","0.117602"
"2021","4103940","David Douglas SD 40","OR","Portland","Regular local school district","8807","","City, large","68004","11003","0.161799","2077","0.188767"
"2021","4103990","Dayton SD 8","OR","Dayton","Regular local school district","903","","Town, distant","5933","1143","0.192651","127","0.111111"
"2021","4104020","Dayville SD 16J","OR","Dayville","Regular local school district","58","","Rural, remote","391","55","0.140665","22","0.4"
"2021","4104170","Diamond SD 7","OR","Diamond","Regular local school district","8","","Rural, remote","100","10","0.1","1","0.1"
"2021","4104290","Double O SD 28","OR","Hines","Regular local school district","2","","Rural, remote","22","0","0","0",""
"2021","4103960","Douglas County SD 15","OR","Days Creek","Charter agency","218","","Rural, distant","1195","152","0.127197","43","0.282895"
"2021","4110710","Douglas County SD 4","OR","Roseburg","Regular local school district","5697","","Town, remote","48818","7004","0.143472","1146","0.163621"
"2021","4104380","Drewsey SD 13","OR","Drewsey","Regular local school district","15","","Rural, remote","144","12","0.083333","5","0.416667"
"2021","4104410","Dufur SD 29","OR","Dufur","Regular local school district","356","","Rural, distant","1840","356","0.193478","48","0.134831"
"2021","4104500","Eagle Point SD 9","OR","Eagle Point","Regular local school district","4210","","Suburb, midsize","31017","5359","0.172776","750","0.139951"
"2021","4104530","Echo SD 5","OR","Echo","Regular local school district","305","","Rural, fringe","961","173","0.180021","21","0.121387"
"2021","4104590","Elgin SD 23","OR","Elgin","Regular local school district","412","","Rural, remote","2714","488","0.179808","123","0.252049"
"2021","4104620","Elkton SD 34","OR","Elkton","Charter agency","224","","Rural, remote","1290","162","0.125581","32","0.197531"
"2021","4105080","Enterprise SD 21","OR","Enterprise","Regular local school district","403","","Rural, remote","3320","584","0.175904","79","0.135274"
"2021","4104700","Estacada SD 108","OR","Estacada","Regular local school district","3025","","Town, fringe","14878","2425","0.162992","252","0.103918"
"2021","4104740","Eugene SD 4J","OR","Eugene","Regular local school district","16498","","City, midsize","166876","20151","0.120754","2335","0.115875"
"2021","4100003","Falls City SD 57","OR","Falls City","Regular local school district","180","","Rural, distant","1374","220","0.160116","40","0.181818"
"2021","4104950","Fern Ridge SD 28J","OR","Elmira","Regular local school district","1391","","Rural, fringe","12750","1962","0.153882","249","0.126911"
"2021","4105160","Forest Grove SD 15","OR","Forest Grove","Regular local school district","5772","","Suburb, large","40196","7344","0.182705","850","0.115741"
"2021","4105250","Fossil SD 21J","OR","Fossil","Charter agency","1436","","Rural, remote","658","67","0.101824","21","0.313433"
"2021","4105310","Frenchglen SD 16","OR","Frenchglen","Regular local school district","7","","Rural, remote","76","9","0.118421","1","0.111111"
"2021","4105430","Gaston SD 511J","OR","Gaston","Regular local school district","491","","Rural, fringe","3151","528","0.167566","66","0.125"
"2021","4100015","Gervais SD 1","OR","Gervais","Regular local school district","1333","","Town, fringe","6676","1387","0.207759","168","0.121125"
"2021","4105610","Gladstone SD 115","OR","Gladstone","Regular local school district","1748","","Suburb, large","11591","1716","0.148046","194","0.113054"
"2021","4105640","Glendale SD 77","OR","Glendale","Regular local school district","280","","Rural, distant","2893","403","0.139302","125","0.310174"
"2021","4105670","Glide SD 12","OR","Glide","Regular local school district","675","","Rural, remote","5923","860","0.145197","125","0.145349"
"2021","4105910","Grants Pass SD 7","OR","Grants Pass","Regular local school district","5604","","City, small","39469","6542","0.16575","1177","0.179914"
"2021","4101120","Greater Albany Public SD 8J","OR","Albany","Regular local school district","9048","","City, small","69985","11522","0.164635","1284","0.111439"
"2021","4106000","Gresham-Barlow SD 10J","OR","Gresham","Regular local school district","11461","","Suburb, large","81866","14002","0.171036","1519","0.108485"
"2021","4102490","Harney County SD 3","OR","Burns","Regular local school district","768","","Town, remote","6116","923","0.150916","185","0.200433"
"2021","4103600","Harney County SD 4","OR","Crane","Regular local school district","959","","Rural, fringe","779","76","0.097561","21","0.276316"
"2021","4103630","Harney County Union High SD 1J","OR","Crane","Regular local school district","1065","","Rural, remote","1459","76","0.05209","15","0.197368"
"2021","4106120","Harper SD 66","OR","Harper","Charter agency","220","","Rural, remote","281","64","0.227758","25","0.390625"
"2021","4100019","Harrisburg SD 7J","OR","Harrisburg","Regular local school district","736","","Town, fringe","5445","1027","0.188613","111","0.108082"
"2021","4106270","Helix SD 1","OR","Helix","Regular local school district","165","","Rural, distant","480","124","0.258333","5","0.040323"
"2021","4106300","Hermiston SD 8","OR","Hermiston","Regular local school district","5447","","Town, distant","29864","6030","0.201915","807","0.133831"
"2021","4100023","Hillsboro SD 1J","OR","Hillsboro","Regular local school district","19044","","City, midsize","141089","23278","0.164988","2237","0.096099"
"2021","4106510","Hood River County SD","OR","Hood River","Regular local school district","3888","","Town, remote","24057","4131","0.171717","483","0.116921"
"2021","4106600","Huntington SD 16J","OR","Huntington","Charter agency","93","","Rural, remote","597","88","0.147404","28","0.318182"
"2021","4106630","Imbler SD 11","OR","Imbler","Charter agency","283","","Rural, distant","1365","216","0.158242","38","0.175926"
"2021","4100047","Ione SD R2","OR","Ione","Charter agency","132","","Rural, remote","698","119","0.170487","12","0.10084"
"2021","4106740","Jefferson County SD 509J","OR","Madras","Regular local school district","2774","","Town, distant","17667","3345","0.189336","732","0.218834"
"2021","4106710","Jefferson SD 14J","OR","Jefferson","Regular local school district","792","","Rural, fringe","6798","1223","0.179906","142","0.116108"
"2021","4106750","Jewell SD 8","OR","Seaside","Regular local school district","133","","Rural, remote","1050","160","0.152381","28","0.175"
"2021","4106780","John Day SD 3","OR","Canyon City","Regular local school district","509","","Rural, remote","4912","655","0.133347","104","0.158779"
"2021","4106820","Jordan Valley SD 3","OR","Jordan Valley","Regular local school district","58","","Rural, remote","400","68","0.17","13","0.191176"
"2021","4106870","Joseph SD 6","OR","Joseph","Regular local school district","276","","Rural, remote","2294","262","0.114211","49","0.187023"
"2021","4106930","Junction City SD 69","OR","Junction City","Regular local school district","1620","","Town, fringe","14066","2236","0.158965","248","0.110912"
"2021","4106960","Juntura SD 12","OR","Vale","Regular local school district","4","","Rural, remote","80","6","0.075","1","0.166667"
"2021","4107020","Klamath County SD","OR","Klamath Falls","Regular local school district","6968","","Rural, fringe","45599","7541","0.165376","1573","0.208593"
