event_time,att,se,ci_low,ci_high
-4,324112.2125083065,393309.28588055144,-446773.9878175743,1094998.4128341873
-3,6384271.255790605,1864057.4182876712,2730718.71594677,10037823.795634441
-2,-834681.5995675859,620313.2058867671,-2050495.4831056495,381132.28397047776
-1,10648074.245454878,3045646.746981071,4678606.621371979,16617541.869537776
0,6042348.753188795,3061583.9699078915,41644.17216932867,12043053.334208261
1,13447815.114421038,4261123.065631881,5096013.905782551,21799616.323059525
2,15286428.972391069,4613635.578295203,6243703.238932472,24329154.705849666
3,27072998.588688236,7521429.611264805,12330996.550609218,41815000.626767255
4,24143239.130239863,9570038.057795668,5385964.536960352,42900513.72351937
5,-20829621.132403206,30829421.66567989,-81255287.5971358,39596045.33232938
