event_time,att,se,ci_low,ci_high
-4,-58.02146592145998,124.48023155835541,-302.00271977583657,185.95978793291664
-3,-181.63385630952573,141.44702997924327,-458.8700350688425,95.6023224497911
-2,158.40781676047934,125.98017758781243,-88.51333131163304,405.32896483259174
-1,272.45071278404833,160.4820761331835,-42.09415643699134,586.995582005088
0,-26.277239025109566,133.98522205774557,-288.8882742582909,236.33379620807176
1,-106.1595908199908,279.1042286209722,-653.2038789170963,440.88469727711475
2,124.6264047415925,149.4671152933838,-168.3291412334398,417.58195071662476
3,-238.21444495531972,279.0446667103585,-785.1419917076223,308.7131017969829
4,-323.5098833233216,351.35405011726124,-1012.1638215531536,365.14405490651035
5,-1759.978029504383,824.0656312156034,-3375.1466666869655,-144.80939232180026
